time,open,high,low,close,Volume,Volume MA
2020-08-05T09:00:00-03:00,5249.5,5325,5238,5303.56,253235,267425.5
2020-08-06T09:00:00-03:00,5360,5377,5326.5,5355.929,227965,261212.5
2020-08-07T09:00:00-03:00,5350,5445,5345,5426.982,238885,263332.5
2020-08-10T09:00:00-03:00,5434.5,5495.5,5357.5,5460.172,259955,264254
2020-08-11T09:00:00-03:00,5445,5467.5,5376.5,5400.714,283050,262065.5
2020-08-12T09:00:00-03:00,5410,5496.5,5404,5461.599,307285,263624.25
2020-08-13T09:00:00-03:00,5420,5427,5353.5,5376.654,310730,266913.5
2020-08-14T09:00:00-03:00,5410,5444.5,5361.5,5431.946,245445,269452
2020-08-17T09:00:00-03:00,5445,5517,5412.5,5513.272,236105,272468
2020-08-18T09:00:00-03:00,5450,5518.5,5423,5477.616,258725,267550.25
2020-08-19T09:00:00-03:00,5452,5563.5,5437,5523.512,237630,263729.75
2020-08-20T09:00:00-03:00,5610,5675,5540.5,5565.649,400645,268787.25
2020-08-21T09:00:00-03:00,5558.5,5634.5,5555.5,5607.54,242315,267779.5
2020-08-24T09:00:00-03:00,5578.5,5617,5561,5597.159,169145,265233.75
2020-08-25T09:00:00-03:00,5585.5,5616.5,5507,5523.798,268815,267660.25
2020-08-26T09:00:00-03:00,5517,5634.5,5512,5618.936,260580,268158.25
2020-08-27T09:00:00-03:00,5608.5,5622.5,5545,5568.821,289270,269697.25
2020-08-28T09:00:00-03:00,5515,5526.5,5386.5,5410.88,269200,267979
2020-08-31T09:00:00-03:00,5414,5500,5406,5473.273,315960,269050.5
2020-09-01T09:00:00-03:00,5454.5,5459.5,5340.5,5383.089,292850,268389.5
2020-09-02T09:00:00-03:00,5421,5436,5346,5370.098,261700,268812.75
2020-09-03T09:00:00-03:00,5370.5,5380,5277.5,5283.213,308755,272852.25
2020-09-04T09:00:00-03:00,5306,5332,5251,5306.603,265710,274193.5
2020-09-08T09:00:00-03:00,5368,5412.5,5319.5,5358.788,253920,273891.75
2020-09-09T09:00:00-03:00,5351,5359.5,5282.5,5292.462,220250,270751.75
