time,open,high,low,close,Volume,Volume MA
2020-06-18T09:00:00-03:00,94150,97390,94005,96354,158035,156603.75
2020-06-19T09:00:00-03:00,97280,97930,95990,96404,156230,157209.5
2020-06-22T09:00:00-03:00,97160,97645,95030,95481,124075,156348.75
2020-06-23T09:00:00-03:00,96940,97665,95845,96092,141985,158376.75
2020-06-24T09:00:00-03:00,95210,96110,93370,94433,177995,160234.5
2020-06-25T09:00:00-03:00,93900,96500,93870,96171,145455,159111.25
2020-06-26T09:00:00-03:00,95900,96100,93420,93824,148740,157836.25
2020-06-29T09:00:00-03:00,94280,96275,93950,95876,142300,156453.25
2020-06-30T09:00:00-03:00,95800,96490,94915,95342,158130,158429
2020-07-01T09:00:00-03:00,94420,97105,94400,96397,164625,159579.25
2020-07-02T09:00:00-03:00,97590,98180,96130,96285,131160,156879.25
2020-07-03T09:00:00-03:00,96500,96970,96005,96868,58755,152352.75
2020-07-06T09:00:00-03:00,98600,99495,98305,99147,146310,149836.5
2020-07-07T09:00:00-03:00,98540,99125,97380,97848,137420,150066.5
2020-07-08T09:00:00-03:00,98350,100170,98210,100031,177325,151732.5
2020-07-09T09:00:00-03:00,99980,100380,98925,99212,129520,148572.25
2020-07-10T09:00:00-03:00,98800,100240,98550,100128,130315,143922.75
2020-07-13T09:00:00-03:00,100800,101040,98320,98726,154075,144725.5
2020-07-14T09:00:00-03:00,98980,100680,98360,100475,205070,147871.75
2020-07-15T09:00:00-03:00,101820,102300,100815,101946,190245,148888.25
2020-07-16T09:00:00-03:00,101335,101625,100235,100712,138415,147907.25
2020-07-17T09:00:00-03:00,101155,103225,101140,103124,155030,147847.25
2020-07-20T09:00:00-03:00,103040,104550,102760,104498,126510,147969
2020-07-21T09:00:00-03:00,105200,105520,103815,104390,147745,148257
2020-07-22T09:00:00-03:00,104075,105140,103310,104346,145090,146611.75
2020-07-23T09:00:00-03:00,105055,105280,102130,102304,161395,147408.75
2020-07-24T09:00:00-03:00,101985,102830,100905,102386,173470,148645.25
2020-07-27T09:00:00-03:00,103200,104750,102590,104502,152685,149164.5
2020-07-28T09:00:00-03:00,103830,104805,103505,103957,117345,147125.25
2020-07-29T09:00:00-03:00,104500,105790,104335,105487,122775,145032.75
2020-07-30T09:00:00-03:00,104875,105875,103935,105262,152565,146103
2020-07-31T09:00:00-03:00,105500,105785,102625,103161,169630,151646.75
2020-08-03T09:00:00-03:00,103910,104075,102325,103144,156820,152172.25
2020-08-04T09:00:00-03:00,102585,102885,99960,101452,217410,156171.75
2020-08-05T09:00:00-03:00,102600,103855,101935,102979,158515,155231.25
2020-08-06T09:00:00-03:00,102500,104655,102100,104146,172930,157401.75
2020-08-07T09:00:00-03:00,103130,104275,101905,102818,182740,160023
2020-08-10T09:00:00-03:00,103200,103860,101235,103429,161880,160413.25
2020-08-11T09:00:00-03:00,104300,104655,101840,102102,196045,159962
2020-08-12T09:00:00-03:00,102740,103350,100860,102393,229130,161906.25
2020-08-13T09:00:00-03:00,102455,103525,100280,100528,178595,163915.25
2020-08-14T09:00:00-03:00,100260,102000,99770,101516,142300,163278.75
2020-08-17T09:00:00-03:00,101105,101915,98665,99733,169125,165409.5
2020-08-18T09:00:00-03:00,101150,102520,100975,102227,115750,163809.75
2020-08-19T09:00:00-03:00,101730,102720,100660,100820,139425,163526.5
2020-08-20T09:00:00-03:00,99000,102040,98885,101655,161365,163525
2020-08-21T09:00:00-03:00,101000,101810,100500,101637,115300,160616.5
2020-08-24T09:00:00-03:00,102590,102885,101770,102443,92595,157612
2020-08-25T09:00:00-03:00,102880,103090,101740,102206,98780,156683.75
2020-08-26T09:00:00-03:00,101920,102700,99460,100651,161625,158626.25
2020-08-27T09:00:00-03:00,100685,101820,99940,100678,129680,157482
2020-08-28T09:00:00-03:00,101600,102575,100990,102282,106640,154332.5
2020-08-31T09:00:00-03:00,102420,102425,99535,99807,138335,153408.25
2020-09-01T09:00:00-03:00,100590,102480,100195,102341,152475,150161.5
2020-09-02T09:00:00-03:00,102505,103125,100950,102108,146225,149547
2020-09-03T09:00:00-03:00,102015,103440,99850,100866,213565,151578.75
2020-09-04T09:00:00-03:00,100865,101955,99030,101474,186865,151785
